shunfeng 顺丰
yuantong 圆通
youshuwuliu 优速快递
rrs 日日顺物流
ztky 中铁物流
xinfengwuliu 信丰物流
zhaijisong 宅急送
coe COE
shentong 申通
jinguangsudikuaijian 京广快递
tiandihuayu 天地华宇
emsguoji EMS国际件
lianbangkuaidi 联邦快递
quanchenkuaidi 全晨快递
bangsongwuliu 邦送物流
aramex Aramex
disifang 递四方
ups UPS
suer 速尔快递
southafrican 南非邮政
jd 京东
wanxiangwuliu 万象物流
kuayue 跨越速运
usps USPS
annengwuliu 安能物流
baishiwuliu 百世快运
shenghuiwuliu 盛辉物流
youzhengguoji 邮政国际
aae AAE
dhl DHL
jiayiwuliu 佳怡物流
kuaijiesudi 快捷速递
zhongtiewuliu 中铁快运
chuanxiwuliu 传喜物流
japanposten 日本邮政
ganzhongnengda 能达速递
ontrac OnTrac
tnt TNT
xinbangwuliu 新邦物流
flyway 程光快递
lianhaowuliu 联昊通
zhongtong 中通
wanjiawuliu 万家物流
postennorge 挪威邮政
zhongyouwuliu 中邮物流
swisspost 瑞士邮政
debangwuliu 德邦物流
fedex FedEx
thailand 泰国邮政
huitongkuaidi 百世汇通
tiantian 天天
guotongkuaidi 国通快递
ewe EWE
hkpost 香港邮政
yunda 韵达
longbanwuliu 龙邦快运
ocs OCS
mexico 墨西哥邮政
koreapost 韩国邮政
quanfengkuaidi 全峰快递
chronopostfren 法国邮政
ems EMS
ukrpost 乌克兰邮政
jiajiwuliu 佳吉快运
portugalctt 葡萄牙邮政
rufengda 如风达
quanyikuaidi 全一快递
hrvatska 克罗地亚邮政
postnl 荷兰邮政
minghangkuaidi 民航快递
youzhengguonei 邮政国内
